"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 06 15:49:26 IST 2023","Mon Mar 06 15:49:45 IST 2023","19046","","Adding restaurant ","","","","login as Admin",""
"passed","Mon Mar 06 15:49:24 IST 2023","Mon Mar 06 15:50:02 IST 2023","37836","","Update order status","","","","login as user",""
"passed","Mon Mar 06 15:51:03 IST 2023","Mon Mar 06 15:51:28 IST 2023","24952","","Update order status","","","","update status",""
"passed","Mon Mar 06 15:50:44 IST 2023","Mon Mar 06 15:51:03 IST 2023","18601","","Update order status","","","","login as Admin",""
"broken","Mon Mar 06 15:50:02 IST 2023","Mon Mar 06 15:50:44 IST 2023","42525","","Update order status","","","","purchase the dish",""
"passed","Mon Mar 06 15:49:45 IST 2023","Mon Mar 06 15:50:02 IST 2023","17235","","Adding dish ","","","","Adding a dish to menu",""
"passed","Mon Mar 06 15:49:26 IST 2023","Mon Mar 06 15:49:45 IST 2023","18924","","Adding dish ","","","","login as Admin",""
"passed","Mon Mar 06 15:50:02 IST 2023","Mon Mar 06 15:50:25 IST 2023","23086","","Adding restaurant ","","","","Add Restaurant",""
"passed","Mon Mar 06 15:49:26 IST 2023","Mon Mar 06 15:50:05 IST 2023","39062","","order dish","","","","login as user",""
"passed","Mon Mar 06 15:50:28 IST 2023","Mon Mar 06 15:50:32 IST 2023","3891","","order dish","","","","purchase the dish",""
"passed","Mon Mar 06 15:50:25 IST 2023","Mon Mar 06 15:50:45 IST 2023","19799","","Adding restaurant ","","","","to check whether restaurant is added",""
"passed","Mon Mar 06 15:50:02 IST 2023","Mon Mar 06 15:50:29 IST 2023","26655","","Adding dish ","","","","Check whether dish is displayed ",""
"passed","Mon Mar 06 15:49:45 IST 2023","Mon Mar 06 15:50:02 IST 2023","17131","","Adding restaurant ","","","","Add category",""
"passed","Mon Mar 06 15:50:05 IST 2023","Mon Mar 06 15:50:28 IST 2023","23249","","order dish","","","","add a dish to cart",""
